date,subscribers,views,shares,url,groups,pm,search,muted,joined
27/02/2023,113.00,14,0,0,0,0,0,0,0
28/02/2023,117.00,373,5,3,1,0,0,0,4
01/03/2023,122.00,247,1,4,0,1,0,4,5
02/03/2023,179.00,1111,9,56,0,1,2,18,59
03/03/2023,220.00,667,4,38,0,0,4,14,43
04/03/2023,222.00,111,1,2,0,0,0,0,2
05/03/2023,226.00,122,0,3,0,0,1,3,4
06/03/2023,294.00,1041,2,67,0,0,0,16,68
07/03/2023,360.00,1421,7,66,0,2,1,24,71
08/03/2023,370.00,545,8,10,0,0,0,3,13
09/03/2023,474.00,1619,12,100,1,2,2,28,107
10/03/2023,493.00,1145,13,12,1,3,0,16,19
11/03/2023,515.00,473,4,18,0,2,0,10,22
12/03/2023,544.00,792,14,12,15,0,0,8,29
13/03/2023,556.00,1728,25,11,1,1,0,6,14
14/03/2023,573.00,1116,9,13,4,2,0,10,19
15/03/2023,580.00,309,3,6,0,0,0,0,7
16/03/2023,586.00,189,4,6,0,0,0,3,6
17/03/2023,587.00,1095,35,2,0,2,0,7,4
18/03/2023,587.00,250,5,1,0,0,0,0,0
19/03/2023,590.00,217,2,3,0,0,0,0,3
20/03/2023,594.00,1042,12,2,1,3,0,5,6
21/03/2023,598.00,527,4,4,0,0,0,0,4
22/03/2023,600.00,76,0,1,0,0,0,0,2
